key,en,am
global_indicators:17-12-1-title,"개발도상국, 최빈개도국 및 군소도서 개발국에 부과되는 평균 관세","Միջին սակագները, որոնց հետ գործ են ունենում զարգացող երկրները, առավել թույլ զարգացած երկրները և զարգացող փոքր կղզի-պետությունները "
global_indicators:17-13-1-title,거시경제 관련 다양한 지표,Մակրոտնտեսական կառավարման վահանակ 
global_indicators:17-14-1-title,지속가능발전의 정책일관성을 증진하기 위해 메커니즘을 갖춘 국가의 수,"Երկրների թիվը, որոնք ունեն կայուն զարգացման քաղաքականության տրամաբանությունը բարձրացնող գործող մեխանիզմներ "
global_indicators:17-15-1-title,개발협력사업 공여자가 개발도상국 주도 성과체계 및 기획수단을 사용하는 정도,Զարգացման համագործակցություն մատակարարողների կողմից երկրում առկա արդյունքների շրջանակների և պլանավորման գործիքների օգտագործման չափը 
global_indicators:17-16-1-title,SDGs 달성을 지원하기 위한 다자간 개발효과성 모니터링 프레임워크에서 진전을 보고한 국가의수,"Զարգացման արդյունավետության մշտադիտարկման շրջանակներում բազմակողմ շահագրգռություն ունեցող առաջընթաց արձանագրած երկրների թիվը, որոնք աջակցում են հասնելու կայուն զարգացման նպատակներին "
global_indicators:17-17-1-title,민-관 및 시민단체 파트너십에 약정한 US달러 금액,Պետական-մասնավոր և քաղաքացիական հասարակության գործընկերություններին տրամադրված գումարը ԱՄՆ դոլարով 
global_indicators:17-18-1-title,세부목표와 관련성이 있는 경우 공식통계의 기본원칙에 따라 국가적 단위에서 생산된 완전히 세분화된 지속가능발전 지표의 비율,"Ազգային մակարդակում «Պաշտոնական վիճակագրության հիմնարար սկզբունքներ»-ի համաձայն մշակված կայուն զարգացման ցուցանիշների համամասնությունը լիարժեք տարանջատումներով այն դեպքում, երբ համապատասխանում է թիրախին"
global_indicators:17-18-2-title,공식통계의 기본원칙을 준수하는 국가통계법령을 갖고 있는 국가의 수,"Երկրների թիվը, որոնք ունեն վիճակագրության վերաբերյալ ազգային օրենսդրություն «Պաշտոնական վիճակագրության հիմնարար սկզբունքներ»-ին համահունչ "
global_indicators:17-18-3-title,재원이 충분히 확보되어 이행되고 있는 국가통계계획을 가진 국가의 수 (재정지원 출처별),"Ազգային վիճակագրական ծրագիր ունեցող երկրների թիվը, որն ամբողջությամբ ֆինանսավորվում ու իրագործվում է՝ ըստ ֆինանսավորման աղբյուրի "
global_indicators:17-19-1-title,개발도상국에서 통계역량 강화에 사용되는 모든 자원의 달러가치,Զարգացող երկրներում վիճակագրական կարողությունների հզորացման համար առկա բոլոր ռեսուրսների դոլարային արժեքը 
global_indicators:17-19-2-title,"지난 10년 동안 a)최소한 한 번의 인구주택총조사를 진행했고, b)100%의 출생등록과 80%의 사망등록을 달성한 국가의 비율","Երկրների համամասնությունը, որ (ա) վերջին 10 տարիների ընթացքում անցկացրել է առնվազն մեկ բնակչության և մեկ տնային մարդահամար, և (բ) հասել է ծնունդների գրանցման 100 և մահվան դեպքերի գրանցման 80 տոկոսին "
global_indicators:17-2-1-title,OECD/개발 원조 위원회(DAC) 공여국의 국민총소득(GNI) 대비 1) 총 순ODA의 비율 2) LDC(최빈개도국)에 대한 순ODA 비율,Զարգացմանն ուղղված պաշտոնական օգնության զուտ թիվը և առավել թույլ զարգացած երկրներին՝ որպես ՏՀԶԿ/Զարգացման աջակցման կոմիտեի դոնորների համախառն ազգային եկամտի համամասնությունը 
global_indicators:17-3-1-title,"총 정부예산 중 해외직접투자, ODA 및 남남협력의 비율","Արտաքին ուղղակի ներդըրումները (ԱՈւՆ), զարգացմանն ուղղված պաշտոնական օժանդակությունը և հարավ-հարավ համագործակցությունը որպես ընդհանուր ներքին բյուջեի համամասնություն "
global_indicators:17-3-2-title,총 GDP 중 송금액의 비율(미달러 기준),Դրամական փոխանցումների ծավալը (ԱՄՆ դոլարով) արտահայտված որպես ընդհանուր ՀՆԱ-ի համամասնություն 
global_indicators:17-4-1-title,재화 및 서비스 수출 대비 부채상환 비율,Պարտքի սպասարկումը՝ արտահայտված որպես ապրանքների և ծառայությունների արտահանումների տոկոս 
global_indicators:17-5-1-title,최빈개도국을 위한 투자촉진제도를 채택하고 이행하는 국가의 수,Թույլ զարգացած երկրների համար ներդրումների խթանման ռեժիմ որդեգրած և իրականացնող երկրների թիվը 
global_indicators:17-6-1-title,국가간 과학기술 협력을 위한 협정과 프로그램의 수 (협력 형태별),Երկրների միջև գիտության և/կամ տեխնոլոգիական համագործակցության համաձայնագրեր և ծրագրեր՝ ըստ համագործակցության տեսակի 
global_indicators:17-6-2-title,인구 100명 당 유선 초고속인터넷 가입률 (속도별),Ֆիքսված կապի և լայնաշերտ համացանցի բաժանորդագրությունները 100 բնակչի հաշվով՝ ըստ արագության 
global_indicators:17-7-1-title,"개도국에 친환경 기술의 개발과 이전, 보급 및 확산을 촉진하기 위해 지원하는 총 승인 금액","Հաստատված ֆինանսավորման ընդհանուր գումարը զարգացող երկրների համար՝ խթանելու բնապահպանորեն անվտանգ տեխնոլոգիաների զարգացումը, փոխանցումը, տարածումն ու ծավալումը "
global_indicators:17-8-1-title,인터넷 이용자 비율,Համացանցից օգտվող անհատների համամասնությունը 
global_indicators:17-9-1-title,"개발도상국에 지원하는 (남북, 남남, 삼각협력 포함) 재정 및 기술지원금액 (달러기준)","Ֆինանսական և փորձագիտական օժանդակության դոլարային արժեքը, (ներառյալ հյուսիս-հարավ, հարավ-հարավ և «եռանկյունաձև» գործակցության միջոցով), որն ուղղված է զարգացող երկրներին "
global_indicators:2-1-1-title,영양부족인구비율,Թերսնվածության տարածվածությունը 
global_indicators:2-1-2-title,식량불안경험척도 기준으로 중간 또는 심각한 수준의 식량불안경험인구비율,Չափավոր կամ սուր պարենային անապահովության տարածվածությունը բնակչության շրջանում՝ հիմնվելով Պարենային անապահովության գնահատման սանդղակի վրա 
global_indicators:2-2-1-title,5세 미만의 발육부진비율(연령대비 신장이 WHO 아동성장표준에서 해당 연령 아동신장 중위값으로부터 표준편차가 <–2 인 경우),Թերաճության տարածվածություն (տարիք¬հասակային հարաբերակցության գործակցի < 2 ստանդարտ շեղում Առողջապահության համաշխարհային կազմակերպության (ԱՀԿ) երեխայի աճի չափորոշիչների միջնարժեքից (մեդիան) մինչև 5 տարեկան երեխաների շրջանում 
global_indicators:2-2-2-title,5세 미만의 영양불량비율(신장대비 체중이 WHO 아동성장표준에서 중위값으로부터 표준편차가 +2> 혹은 <-2인 경우),Թերսնուցման տարածվածություն (քաշ-հասակային հարաբերակցության գործակցի >+2 կամ <2 ստանդարտ շեղում ԱՀԿ երեխայի աճի չափորոշիչների միջնարժեքից (մեդիան) մինչև 5 տարեկան երեխաների շրջանում՝ ըստ տեսակի (սուր թերսնուցում և գերքաշություն) 
global_indicators:2-3-1-title,"노동단위당 생산규모(농업, 축산업, 임업규모에 따른 계층별)",Մեկ աշխատանքի միավորին ընկնող արտադրության ծավալը ըստ գյուղատնտեսական/անասնապահական/անտառտնտեսության ձեռնարկությունների չափի դասերի 
global_indicators:2-3-2-title,소규모 식량 생산자의 평균 소득 (성 및  토착지위별),Փոքրածավալ մթերք արտադրողների միջին եկամուտը ըստ սեռի և տեղաբնիկ լինելու կարգավիճակի 
global_indicators:2-4-1-title,생산적이고 지속가능한 농지면적 비율,Արդյունավետ ու կայուն գյուղատնտեսական գործելաձևեր կիրառող գյուղատնտեսական տարածքների համամասնությունը 
global_indicators:2-5-1-title,식량 및 농업을 위해 중장기 보존 시설에 확보되어 있는 동식물 유전자원의 수,Բուսական ու կենդանական գենետիկական պաշարների քանակը մթերված պարենային ու գյուղատնտեսական միջնաժամկետ ու երկարաժամկետ պահուստային տարածքներում 
global_indicators:2-5-2-title,멸종위험수준에 따라 분류된 지역 종의 비율,"Տեղական մշակաբույսերի համամասնությունը, որ դասակարգված է որպես վտանգի ենթակա, վտանգի ոչ ենթակա կամ անհետացման անհայտ աստիճանի վտանգի ենթակա "
global_indicators:2-a-1-title,정부지출 대비 농업관련 지출 지수,Պետական ծախսումների գյուղատնտեսական կողմնորոշման համաթիվը 
global_indicators:2-a-2-title,농업부문에 대한 공적지원금(ODA+다른 공적지원금),Գյուղատնտեսությանն ուղղված պաշտոնական հոսքերի (զարգացմանն ուղղված պաշտոնական օգնությունն ու այլ պաշտոնական հոսքեր) ամբողջական գումարը 
global_indicators:2-b-1-title,농업수출보조금,Գյուղատնտեսական արտադրանքի արտահանման սուբսիդիաներ 
global_indicators:2-b-2-title,농업수출보조금,Գյուղատնտեսական արտադրանքի արտահանման սուբսիդիաներ 
global_indicators:2-c-1-title,식품가격이상지표(food price anomalies),Պարենի գնի անկանոնությունների ցուցանիշը 
global_indicators:3-1-1-title,모성사망비,Մայրական մահերը 100 հազար կենդանածնի հաշվով 
global_indicators:3-1-2-title,의료전문인력이 진료에 참여한 출산비율,Հմուտ բժշկական անձնակազմի կողմից ընդունվող ծնունդների համամասնությունը 
global_indicators:3-2-1-title,5세미만 사망률,Մինչև 5 տարեկան երեխաների մահացության ցուցանիշը 
global_indicators:3-2-2-title,신생아 사망률,Վաղ նորածնային մահացության ցուցանիշը
global_indicators:3-3-1-title,비감염인구 1천명당 인체면역결핍바이러스(HIV) 감염자의 성·연령 및 주요 특성별 현황,"Նոր ՄԻԱՎ վարակների թիվը 1000 չվարակված բնակչի հաշվով ըստ սեռի, տարիքի և բնակչության հիմնական խմբերի "
global_indicators:3-3-2-title,10만명당 결핵 발생건수,Տուբերկուլյոզի 1000 մարդու հաշվով նոր դեպքերի թիվը մեկ տարվա ընթացքում 
global_indicators:3-3-3-title,1천명당 말라리아 발생건수,Մալարիայի 1000 մարդու հաշվով նոր դեպքերի թիվը մեկ տարվա ընթացքում 
global_indicators:3-3-4-title,10만명당 B형 간염 발생건수,Հեպատիտ Բ¬ով վարակման դեպքերի թիվը 100 հազար բնակչի հաշվով 
global_indicators:3-3-5-title,소외열대질환 치료가 필요한 인구수,Անտեսված արևադարձային հիվանդությունների դեմ միջամտությունների կարիք ունեցող մարդկանց թիվը 
global_indicators:3-4-1-title,"심혈관계질환, 암, 당뇨 또는 만성호흡기 질환 사망률","Սրտանոթային հիվանդություններին, քաղցկեղին, շաքարային դիաբետին կամ շնչուղիների քրոնիկական հիվանդություններին վերագրվող մահացությունների թիվը "
global_indicators:3-4-2-title,자살 사망률,Ինքնասպանության հետևանքով մահացության ցուցանիշ 
global_indicators:3-5-1-title,"약물장애 치료개입 (의약, 사회심리, 재활 및 사후관리 서비스)보장범위","Թմրամիջոցների օգտագործման հետևանքով առաջացած խանգարումների բուժման միջամտությունների (դեղորայքային բուժում, սոցիալ-հոգեբանական, վերականգնողական և հետբուժական խնամքի ծառայություններ) ընդգրկումը "
global_indicators:3-5-2-title,연간 1인당 순 알코올 소비량,"Ալկոհոլի վնասաբեր օգտագործումը, որն ըստ ազգային համատեքստի սահմանված է որպես ալկոհոլի սպառում մեկ շնչի հաշվով (15 և ավելի բարձր տարիքի անձանց շրջանում) մեկ օրացուցային տարվա ընթացքում՝ մաքուր սպիրտի լիտրերով "
global_indicators:3-6-1-title,도로교통사고 사망률,Ճանապարհատրանսպորտային պատահարներից մահացության թիվը 
global_indicators:3-7-1-title,가족계획이 필요한 가임기 여성(15-49세) 중 현대적 피임방법 사용 비율,"Վերարտադրողական տարիքի (15¬49 տարեկան) կանանց համամասնությունը, որոնց ընտանիքի պլանավորման կարիքները բավարարվում են ժամանակակից մեթոդներով "
global_indicators:3-7-2-title,"여성 청소년 (10-14세, 15-19세) 출산률","Դեռահասների (10-14 տարեկան, 15-19 տարեկան) ծնելիությունը տվյալ տարիքային խմբի 1000 կնոջ հաշվով "
global_indicators:3-8-1-title,필수 보건 서비스 보장범위,"Հիմնական առողջապահական ծառայությունների ընդգրկումը (հետագծող միջամտությունների հիման վրա սահմանված հիմնական ծառայությունների միջին ընդգրկումը ներառյալ վերարտադրողական, մայրական, նորածնի և մանկական առողջության, վարակիչ հիվանդությունների, ոչ վարակիչ հիվանդությունների ու ծառայության կարողունակությունն ու մատչելիությունը հանրության և բնակչության ամենախոցելի խավի համար) "
global_indicators:3-8-2-title,가구 총지출 및 소득 대비 의료비과부담 인구 비율,Տնային տնտեսության ծախսերից առողջությանը մեծ ծախսեր հատկացնող բնակչության համամասնությունը որպես տնային տնտեսության ընդհանուր ծախսերի կամ եկամտի մասնաբաժին  
global_indicators:3-9-1-title,실내공기오염 및 대기오염으로 인한 사망률,Շենքերի ներսում և դրսում օդի աղտոտմանը վերագրվող մահացության ցուցանիշը
global_indicators:3-9-2-title,"안전하지 않은 물과 하수처리, 부족한 위생시설로 인한 사망률","Աղտոտված ջրի, անապահով սանիտարական պայմանների ու հիգիենայի իսպառ բացակայության պատճառով մահացությունների թիվը (անապահով «Ջուր և սանիտարահիգիենիկ պայմաններ բոլորի համար» (WASH) ծառայություններին ենթարկված լինելը) "
global_indicators:3-9-3-title,비의도적 중독 사망률,Ոչ դիտավորյալ թունավորումների պատճառով մահացության թիվը 
global_indicators:3-a-1-title,연령표준화를 적용한 15세 이상 인구에서 현재 흡연률,Ներկայումս ծխախոտի օգտագործման ըստ տարիքի ստանդարտացված տարածվածությունը 15 և ավելի բարձր տարիքի անձանց շրջանում 
global_indicators:3-b-1-title,국가 정책에 포함된 모든 백신을 접종한 인구의 비율,Ազգային ծրագրում ընդգրկված բոլոր պատվաստանյութերով ապահովված թիրախային բնակչության համամասնությունը 
global_indicators:3-b-2-title,의학연구 및 기초보건부문에 대한 순ODA총액,Բժշկական հետազոտությունների և հիմնական առողջապահական ոլորտներին տրամադրվող զարգացմանն ուղղված պաշտոնական ընդհանուր զուտ օգնությունը 
global_indicators:3-b-3-title,적당한 가격으로 필수 의약품을 지속적으로 구할 수 있는 의료시설 비율,"Բժշկական հաստատությունների մասնաբժինը, որոնք մշտապես ունեն անհրաժեշտ և մատչելի դեղորայք"
global_indicators:3-c-1-title,보건의료인력 밀도 및 분포,Բուժաշխատողների խտություն և բաշխվածություն 
global_indicators:3-d-1-title,국제보건규정(IHR)에 의한 수용능력 및 응급대처능력,Միջազգային առողջապահական կանոնակարգի (IHR) նկատմամբ կարողություններն ու արտակարգ պատրաստվածությունը 
global_indicators:4-1-1-title,"(a) 초등학교 2학년 혹은 3학년 시점, (b) 초등학교 말 (c) 중학교 말에 (i) 읽기와 (ii) 수학분야에서 최소숙달수준에 도달한 아동 및 청소년의 성별 비율","Երեխաների և երիտասարդների համամասնությունը՝ (ա) 2¬րդ կամ 3¬րդ դասարաններում, (բ) տարրական դպրոցն ավարտելիս, (գ) հիմնական դպրոցն ավարտելիս, ովքեր ձեռք են բերել առնվազն գիտելիքների նվազագույն մակարդակ (i) ընթերցանությունից և (ii) մաթեմատիկայից՝ ըստ սեռի "
global_indicators:4-2-1-title,"건강, 학습 및 심리사회적 웰빙 측면에서  발달과정에 있는 5세미만의 성별 비율","Մինչև 5 տարեկան երեխաների համամասնությունը, ովքեր զարգացման առումով ունեն առողջության, ուսումնառության և սոցիալ-հոգեբանական բարեկեցության բնականոն մակարդակ՝ ըստ սեռի "
global_indicators:4-2-2-title,(정규 초등교육 입학연령이 되기 1년 전) 조직화된 학습 참여 성별 비율,Կազմակերպված ուսումնառությանը մասնակցության թիվը (տարրական դպրոց ընդունվելու պաշտոնական տարիքից մեկ տարի առաջ)՝ ըստ սեռի 
global_indicators:4-3-1-title,지난 12개월 동안 형식 및 비형식 교육· 훈련에 참여한 청소년 및 성인의 성별 비율,Ֆորմալ և ոչ ֆորմալ կրթությանը և ուսուցմանը երիտասարդների և մեծահասակների մասնակցության մակարդակը նախորդ 12 ամիսներին՝ ըստ սեռի
global_indicators:4-4-1-title,기술유형별 정보통신기술(ICT) 능력을 보유한 청소년/성인의 비율,Տեղեկատվական և հաղորդակցման տեխնոլոգիաների (ՏՀՏ) հմտությունների տիրապետող պատանիների և (կամ) մեծահասակների համամասնությունը ըստ հմտության տեսակի 
global_indicators:4-5-1-title,"세분화할 수 있는 이 목록의 모든 지표 대상  형평성 지수(성, 도농, 소득분위, 데이터를 이용할 수 있는 경우 장애상태, 토착민, 분쟁영향 여부 등)","Հավասարության համաթվեր (իգական/արական, գյուղական/ քաղաքային, ունևորության ստորին/ վերին քվինտիլ և այլն, օրինակ, հաշմանդամության կարգավիճակ, տեղաբնիկ ժողովուրդներ և հակամարտություններից տուժածներ, երբ տվյալներ առկա լինեն) այս ցանկի բոլոր կրթական ցուցանիշների համար, որոնք հնարավոր է տարանջատել "
global_indicators:4-6-1-title,특정 연령 집단에서 기능적 (a) 문해력과 (b) 수리력이 최소 일정 수준에 도달한 인구의 성별 비율,"Բնակչության տոկոսը տվյալ տարիքային խմբում, ովքեր ձեռք են բերել առնվազն որոշակի մակարդակի (ա) տառաճանաչության և (բ) թվաճանաչության գործուն հմտություններ՝ ըստ սեռի "
global_indicators:4-7-1-title,성평등과 인권 등 (i) 세계시민교육 (ii)지속가능발전교육이 (a)국가교육정책 (b) 교육과정 (c) 교사교육 그리고 (d) 학생평가 등 모든 영역에서 주류화 정도,"Թե ինչ չափով են (i) գլոբալ քաղաքացիության կրթությունն ու (ii) կրթություն հանուն կայուն զարգացման առարկաները՝ ներառյալ գենդերային հավասարության ու մարդու իրավունքների ներգծումը բոլոր մակարդակներում ընդգրկված (ա) ազգային կրթության ռազմավարության, (բ) առարկայացանկի, (գ) ուսուցիչների վերապատրաստման, (դ) աշակերտների գնահատման մեջ: "
global_indicators:4-a-1-title,"(a) 전기; (b) 교육 목적의 인터넷, (c) 교육목적의 컴퓨터; (d) 장애학생을 위한 설비와 자료 (e) 기초식수 (f) 남녀 구분 기초 위생시설;(g)(WASH 기준 부합) 기초손씻기 시설 등에 접근할 수 있는 학교 비율","Դպրոցների համամասնությունը, որոնք ունեն. (ա) էլեկտրականություն, (բ) համացանց՝ մանկավարժական նպատակներով, (գ) համակարգիչներ՝ մանկավարժական նպատակներով, (դ) հարմարեցված ենթակառուցվածքներ և նյութեր հաշմանդամություն ունեցող աշակերտների համար, (ե) հիմնական խմելու ջուր, (զ) մեկ սեռի համար նախատեսված տարրական սանիտարա-հիգիենիկ հարմարություններ, (է) ձեռքերը լվանալու տարրական հարմարություններ (համաձայն «Ջուր և սանիտարահիգիենիկ պայմաններ բոլորի համար» ցուցանիշի սահմանումների) "
global_indicators:4-b-1-title,장학금의 공적개발원조(ODA) 금액의 연구부문 및 연구유형별 규모,Զարգացմանն ուղղված պաշտոնական օգնության հոսքերի ծավալը կրթաթոշակների համար ըստ ոլորտների և ուսման տեսակի 
global_indicators:4-c-1-title,"(a)유아, (b)초등, ©중학교 및 (d)고등학교교사 중에서 국가가 요구하는 특정 수준 수업에 필요한 최소한의 체계화된 교원 교육 및 훈련을 임용 전 혹은 재직 중 받은 교사의 비율","Ուսուցիչների համամասնությունը (ա) նախադպրոցական հիմնարկներում, (բ) տարրական, (գ) հիմնական, (դ) ավագ դպրոցի մակարդակում, ովքեր նախքան աշխատանքի անցնելը կամ աշխատելուն զուգահեռ ստացել են տվյալ երկրում համապատասխան մակարդակում դասավանդելու համար պահանջվող ուսուցչի առնվազն նվազագույն կազմակերպված կրթություն (օրինակ, մանկավարժական կրթություն) "
global_indicators:5-1-1-title,"성에 근거한 비차별과 평등을 증진, 집행 그리고 추적할 수 있는 법적체계 존재여부","Անկախ իրավական դաշտի առկայությունից, խթանել, կիրարկել և մշտադիտարկել սեռի հիմքով հավասարությունը և խտրականության բացառումը "
global_indicators:5-2-1-title,"파트너가 있(었)던 15세 이상의 여성과 여아  중 지난 12개월 동안 (현재 혹은 과거의) 친밀한 파트너로 부터 신체적, 성적, 정서적인 폭력을 당한 경험이 있는 인구의 연령별 및 폭력형태별 비율","Երբևէ զուգընկեր ունեցած 15 տարեկան և ավելի բարձր տարիքի կանանց և աղջիկների համամասնությունը, ովքեր ենթարկվել են ֆիզիկական, սեռական կամ հոգեբանական բռնության ներկա կամ նախկին զուգընկերոջ կողմից վերջին 12 ամիսների ընթացքում, ըստ բռնության ձևի և ըստ տարիքի "
global_indicators:5-2-2-title,15세 이상의 여성과 여아 중에서 지난 12개월 동안 친밀한 파트너 이외에 다른 사람들로부터 성적 폭력을 당한 경험이 있는 인구의 연령별 및 사건발생장소별 비율,"15 տարեկան և ավելի բարձր տարիքի կանանց և աղջիկների համամասնությունը, ովքեր ենթարկվել են սեռական բռնության զուգընկեր չհանդիսացող անձանց կողմից վերջին 12 ամիսների ընթացքում, ըստ տարիքային խմբի և բռնության կատարման վայրի "
global_indicators:5-3-1-title,20~24세 여성 중 15세 이전과 18세 이전에 결혼 또는 동거를 했던 비율,"20¬24 տարեկան կանանց համամասնությունը, ովքեր ամուսնացել են կամ սեռական կապի մեջ են գտնվել նախքան 15 տարեկան և նախքան 18 տարեկան դառնալը "
global_indicators:5-3-2-title,15~49세 여아와 여성 중 여성성기절제(FGM/C)를 한 인구의 연령별 비율,"15¬49 տարեկան աղջիկների և կանանց համամասնությունը, ովքեր ենթարկվել են կանանց սեռական օրգանների խեղման կամ կտրման, ըստ տարիքի "
global_indicators:5-4-1-title,"무보수 가사노동 및 돌봄노동에 소요된 시간의 성별, 연령 및 지역별 비율","Չվարձատրվող տնային և խնամքի աշխատանքի վրա ծախսված ժամանակի համամասնությունը ըստ սեռի, տարիքի և տեղի "
global_indicators:5-5-1-title,(a)국회의 여성 의석 비율 (b) 지방정부의 여성 의석 비율,(ա) Ազգային խորհրդարաններում և (բ) տեղական ինքնակառավարման մարմիններում կանանց զբաղեցրած տեղերի համամասնությունը
global_indicators:5-5-2-title,여성 관리자 비율,Ղեկավար պաշտոններ զբաղեցնող կանանց համամասնությունը 
global_indicators:5-6-1-title,"성관계, 피임제 사용 및 생식보건에 대한 충분한 정보에 따라 스스로 의사결정을 하는 15-49세의 여성비율","15¬49 տարեկան կանանց համամասնությունը, ովքեր ինքնուրույն իրազեկված որոշումներ են կայացնում սեռական հարաբերությունների, հակաբեղմնավորիչների օգտագործման և վերարտադրողական առողջության պահպանման հարցերում "
global_indicators:5-6-2-title,성 및 생식 보건에 대한 정보와 교육에 대해 15세 이상의 여성 및 남성의 완전하고 평등한 접근성을 보장하는 법과 제도가 마련된 국가의 수,"15 տարեկանից բարձր կանանց և տղամարդկանց համար սեռական և վերարտադրողական առողջության պահպանման, տեղեկատվության և կրթության հավասար հասանելիություն երաշխավորող օրենքներ և կանոնակարգեր ունեցող երկրների թիվը "
global_indicators:5-a-1-title,(a) 농경지에 대한 소유권 또는 확실한 권리를 가진 전체 농업인구의 비율 (성별) (b)농경지 소유자 또는 토지 관리권을 가진 사람 중 여성의 비율 (보유기간별),"(ա) Գյուղատնտեսական նշանակության հողերի նկատմամբ սեփականության կամ ապահով իրավունքներ ունեցող մարդկանց համամասնությունը՝ ըստ սեռի, (բ) կանանց համամասնությունը գյուղատնտեսական նշանակության հողերի սեփականատերերի կամ իրավակիրների մեջ՝ ըստ հողի տիրապետման պայմանների "
global_indicators:5-a-2-title,토지소유나 통제에 대한 여성의 평등한 권리를 보장하는 법률적 기반(관습법을 포함)을 갖춘 국가의 비율,"Երկրների համամասնությունը, որտեղ իրավական դաշտը (այդ թվում՝ սովորութային իրավունքը) երաշխավորում է կանանց հավասար իրավունքները հողի սեփականության և (կամ) վերահսկողության նկատմամբ"
global_indicators:5-b-1-title,휴대폰을 소유한 개인의 비율 (성별),Բջջային հեռախոս ունեցող անհատների համամասնությունը ըստ սեռի 
global_indicators:5-c-1-title,성평등과 여성의 권한강화를 위해 공공자원을 할당하고 추적하는 시스템을 갖춘 국가의 비율,"Երկրների համամասնությունը, որոնք կիրառում են գենդերային հավասարությանը և կանանց զորացմանը հետևելու և հանրային հատկացումներ կատարելու համակարգեր "
global_indicators:6-1-1-title,안전하게 관리되는 식수서비스를 이용하는 인구 비율,Անվտանգ ձևով կառավարվող խմելու ջրի մատակարարման ծառայություններից օգտվող բնակչության համամասնությունը 
global_indicators:6-2-1-title,비누와 물이 있는 손씻기 시설을 포함하여  안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,"Անվտանգ ձևով կառավարվող սանիտարահիգիենիկ ծառայություններից, այդ թվում՝ օճառով և ջրով ձեռքերը լվանալու հարմարությունից օգտվող բնակչության համամասնությունը "
global_indicators:6-3-1-title,안전하게 처리되는 폐수의 비율,Անվտանգ ձևով մաքրված կեղտաջրերի համամասնությունը 
global_indicators:6-3-2-title,주변 수질이 양호한 수계(bodies of water)의 비율,Ջրային ավազանների համամասնությունը շրջակա որակյալ ջրով 
global_indicators:6-4-1-title,시간에 따른 물 이용 효율성 변화,Ջրօգտագործման արդյունավետության մեջ ժամանակի ընթացքում կատարված փոփոխությունը 
global_indicators:6-4-2-title,물 스트레스 수준 - 이용가능한 담수 대비 취수 비율,Ջրի պակասի պատճառած լարվածության (սթրեսի) մակարդակը. մաքուր ջրի ետ քաշվելը գոյություն ունեցող մաքուր ջրի պաշարների հարաբերակցությամբ 
global_indicators:6-5-1-title,통합 수자원관리 이행 정도 (0-100),Ջրային ռեսուրսների համապարփակ կառավարման իրականացման աստիճանը (0-100) 
global_indicators:6-5-2-title,물협력을 위한 운영협정을 맺고 있는 접경 지역 비율,Անդրսահմանային ջրային ավազանի համամասնությունը ջրային համագործակցության գործառնական պայմանավորվածությամբ 
global_indicators:6-6-1-title,시간 경과에 따른 물 관련 생태계 규모의 변화,Ջրաէկոհամակարգերի չափերի մեջ ժամանակի ընթացքում կատարված փոփոխությունը 
global_indicators:6-a-1-title,정부의 지출계획에 포함되어 있는 물과 위생분야 관련 ODA 금액,"Ջրամատակարարման և ջրահեռացմանն առնչվող՝ զարգացմանն ուղղված պաշտոնական օգնության քանակը, որը մաս է կազմում պետության կողմից համակարգվող ծախսերի պլանի "
global_indicators:6-b-1-title,물 및 위생관리에 대한 지방 커뮤니티의  참여를 위한 확립된 행정적 정책과 절차를 갖추고 있는 지방행정단위의 비율,"Տեղական վարչական միավորների համամասնությունը, որոնք ունեն հաստատված և գործող քաղաքականություններ և ընթացակարգեր՝ ջրամատակարարման և ջրահեռացման կառավարման մեջ տեղական համայնքների մասնակցության համար "
global_indicators:7-1-1-title,전기 접근성을 갖고 있는 인구비율,Էլեկտրականություն ունեցող բնակչության համամասնությունը 
global_indicators:7-1-2-title,청정연료 및 기술에 주로 의존하는 인구비율,Հիմնականում մաքուր վառելիքին և տեխնոլոգիաներին ապավինող բնակչության համամասնությունը 
global_indicators:7-2-1-title,최종 에너지 소비 중 재생에너지가 차지하는 비율,Վերականգնվող էներգիայի համամասնությունը էներգիայի ընդհանուր վերջնական սպառման մեջ 
global_indicators:7-3-1-title,1차 에너지와 GDP의 측면에서 측정한 에너지 집약도,Էներգաինտենսիվությունը՝ չափված առաջնային էներգիայի և ՀՆԱ¬ի տեսակետից 
global_indicators:7-a-1-title,개도국의 하이브리드 시스템을 포함한 재생 에너지 및 청정에너지 연구 개발과 재생에너지생산을 지원하는 국제 자금 흐름,"Միջազգային ֆինանսական հոսքեր զարգացող երկրներին մաքուր էներգիայի վերաբերյալ հետազոտությունների և զարգացման աջակցության և վերականգնվող էներգիայի արտադրության համար, այդ թվում հիբրիդային համակարգերի "
global_indicators:7-b-1-title,지속가능한 발전 서비스 인프라와 기술에 대한 재정이전 분야에서의 해외 직접투자 금액과 에너지 효율성에 대한 투자 금액이 GDP에서 차지하는 비율,"Էներգիայի արդյունավետության բնագավառում ներդրումները, որպես ՀՆԱ¬ի տոկոս, և ֆինանսական փոխանցումների մեջ արտաքին ուղիղ ներդրումների քանակը կայուն զարգացման ծառայությունների ենթակառուցվածքների ու տեխնոլոգիայի համար "
global_indicators:8-1-1-title,1인당 실질 GDP의 연 성장률,Մեկ շնչին ընկնող իրական ՀՆԱ¬ի տարեկան աճի ցուցանիշը 
