key,en,ar
global_targets:15-3---title,"2030년까지 사막화 퇴치와 사막화, 가뭄, 홍수로 영향을 받은 토지를 포함하여, 황폐화된 토지 및 토양 복원, 그리고 토지 황폐화 가 없는 세계 달성을 위해 노력",مكافحة التصحر، وترميم الأراضي والتربة المتدهورة، بما في ذلك الأراضي المتأثرة بالتصحر والجفاف والفيضانات، والسعي إلى تحقيق عالم ٍ خالٍ من ظاهرة تدهور الأراضي، بحلول عام 2030
global_targets:15-4---title,"2030년까지 지속가능발전에 필수적인 이익을 주는 산림생태계의 수용력을 증진하기 위해, 생물다양성을 포함한 산림 생태계 보존을 보장",كفالة حفظ النظم الإيكولوجية الجبلية، بما في ذلك تنوعها البيولوجي، من أجــل تعزيز قــدرتهـا على توفير المنافع التي لا غنى عنها لتحقيق التنمية المستدامة، بحلول عام 2030
global_targets:15-5---title,자연 서식지의 황폐화를 감소시키고 생물다양성의 손실을 중단시키기 위해 시급하고 대대적인 조치를 취하고 2020년까지 멸종위기 종을 보호하고  멸종을 예방,اتخـاذ إجراءات عـاجلـة وهـامـة للحـد من تـدهور الموائـل الطبيعية، ووقف فقـدان التنوع البيولوجي، والقيام، بحلول عام 2020، بحماية الأنواع المهدَّدة ومنع انقراضها
global_targets:15-6---title,"국제적으로 합의된 바와 같이, 유전자원의 활용으로부터 발생하는 이익의 공정하고 공평한 분배 보장 및 유전자원에 대한 적절한 접근 증대",تعزيز التقاسـم العادل والمنصـف للمنافع الناشـئة عن اســتخدام الموارد الجينية، وتعزيز الســبل المناســبة للوصــول إلى تلك الموارد، على النحو المتفق عليه دوليا
global_targets:15-7---title,"보호동식물의 밀렵과 밀매 근절을 위한 즉각적인 행동을 촉구하고, 불법야생동식물제품의 수요와 공급에 대응",اتخاذ إجراءات عاجلة لوقف الصـيد غير المشـروع للأنواع المحمية من النباتات والحيوانات والاتجار بها، والتصـدي لمنتجات الأحياء البرية غير المشـروعة، على مسـتويي العرض والطلب على السواء
global_targets:15-8---title,"2020년까지 육상 및 수중 생태계를 교란하는 외래종의 유입을 방지하고, 그로 인한 영향을 현저히 감소시키는 방안을 도입하며, 우선대응 및 대상종을 통제 및 박멸",اتخـاذ تـدابير لمنع إدخـال الأنواع الغريبـة الغـازيـة إلى النظم الإيكولوجية للأراضي والمياه وتقليل أثر ذلك إلى حد كبير، ومراقبة الأنواع ذات الأولوية أو القضاء عليها، بحلول عام 2020
global_targets:15-9---title,2020년까지 생태계 및 생물다양성 가치를 국가 및 지역 계획․개발 과정 그리고 빈곤퇴치 전략 및 회계에 반영,إدمـاج قيم النظم الإيكولوجيـة والتنوع البيولوجي في عمليات التخطيط، والعمليات الإنمائية، واسـتراتيجيات الحد من الفقر، والحسـابات، على الصـعيدين الوطني والمحلي، بحلول عام 2020
global_targets:15-a---title,생물다양성 및 생태계 보호 및 지속가능한 사용을 위한 재원 동원,حشد الموارد المالية من جميع المصادر وزيادتها زيادة كبيرة بغرض حفظ التنوع البيولوجي والنظم الإيكولوجية واســتخدامها استخداماً مستداماً
global_targets:15-b---title,지속가능한 삼림관리에 대한 재원 마련을 위해 모든 수준에서 주요한 자원을 모두 동원하고 개발도사국이 보존 및 재식림 등을 위한 삼림 관리를 즈진할 수 있도록 충분한 인센티브를 제공,حشـد موارد كبيرة من جميع المصادر وعلى جميع المسـتويات بغرض تمويل الإدارة المسـتدامة للغابات وتوفير ما يكفي من الحوافز للبلدان النامية لتعزيز تلك الإدارة، تحقيقا لأغراض منها حفظ الغابات وإعادة التحريج
global_targets:15-c---title,지속가능한 생계수단의 추구를 위한 지역사회의 역량 제고를 포함하여 멸종위기종의 밀렵 및 밀매 활동 근절을 위한 글로벌 차원의 노력 강화,تعزيز الدعم العالمي للجهود الرامية إلى مكافحة الصـيد غير المشـروع للأنواع المحمية والاتجار بها، وذلك بوسـائل تشـمل زيادة قدرات المجتمعات المحلية على السـعي إلى الحصـول على فرص سبل كسب الرزق المستدامة
global_targets:16-1---title,모든 지역에서 일어나는 모든 형태의 폭력과 관련 사망률을 상당 수준으로 감소,
global_targets:16-10---title,국내법 및 국제조약에 따라 정보에 대한 대중의 접근성을 보장하고 기본적인 자유를  보호,كفـالة وصـول الجمهور إلى المعلومـات وحمـاية الحريات الأساسية، وفقاً للتشريعات الوطنية والاتفاقات الدولية
global_targets:16-2---title,"아동에 대한 학대, 착취, 인신매매 및 모든 형태의 폭력과 고문 종식",إنهاء ما يتعرض له الأطفال من سوء المعاملة والاسـتغلال والاتجار بالبشر وجميع أشكال العنف والتعذيب
global_targets:16-3---title,"국가적 및 국제적 수준에서 법치를 증진하며, 모두에게 평등한 사법 접근권을 보장",تعزيز ســيادة القانون على الصـعيدين الوطني والدولي، وكفالة تكافؤ الفرص لوصول الجميع إلى العدالة
global_targets:16-4---title,"2030년까지 불법 자금 및 무기 거래를 상당 수준으로 감소, 은닉재산 회수 및 환수를 강화하며, 모든 형태의 조직화된 범죄를 방지",الحـد بقـدر كبير من التـدفقـات غير المشـروعــة للأموال والأسـلحة، وتعزيز اسـترداد الأصول المسروقة وإعادتها ومكافحة جميع أشكال الجريمة المنظمة، بحلول عام 2030
global_targets:16-5---title,모든 형태의 부정부패 및 뇌물을 대폭 감소,الحد بقدر كبير من الفساد والرشوة بجميع أشكالهما
global_targets:16-6---title,"모든 수준에서 효과적이고, 책임 있고, 투명한 제도 개발",إنشاء مؤسـسـات فعالة وشـفافة وخاضعة للمساءلة على جميع المستويات
global_targets:16-7---title,"모든 수준에서 의사결정이 대응적, 포용적, 참여적이며 대표성을 갖출 수 있도록 보장",كفالة اتخاذ القرارات على نحو مســتجيب للاحتياجات وشامل للجميع وتشاركي وتمثيلي على جميع المستويات
global_targets:16-8---title,글로벌 거버넌스 제도 하에서 개발도상국의 참여를 확대하고 강화,توسيع وتعزيز مشاركة البلدان النامية في مؤسسات الحوكمة العالمية
global_targets:16-9---title,2030년까지 출생등록을 포함하여 모두에게 법적신원 제공,توفير هوية قانونية للجميع، بما في ذلك تسجيل المواليد
global_targets:16-a---title,"폭력예방 및 테러, 범죄 예방 차원에서  모든 수준, 특히 개도국에서 역량강화를 위해 국제협력 등을 포함하여 관련된 국내 제도 강화",تعزيز المؤســسـات الوطنية ذات الصلة، بجملة أمور منها التعاون الدولي، من أجل بناء القدرات على جميع المسـتويات، ولا سيما في البلدان النامية، لمنع العنف ومكافحة الإرهاب والجريمة
global_targets:16-b---title,지속가능발전을 위한 비차별적 법률과  정책의 증진 및 강화, تعزيز القوانين والسياسات غير التمييزية وإنفاذُها لتحقيق التنمية المستدامة
global_targets:17-1---title,조세 및 기타 수입 징수 국내역량 개선을 위해 국내재원 동원 강화 (개발도상국에 대한 국제지원 포함),
global_targets:17-10---title,"도하개발의제 협상 타결을 통하여 세계무역기구(WTO)하에서의 보편적, 규칙기반, 개방적, 비차별적, 공평한 다자무역제도 촉진",إيجاد نظام تجـاري متعـدد الأطراف عـالمي وقـائم على القواعـد ومفتوح وغير تمييزي ومنصـف في إطـار منظمـة التجـارة العالمية، بوسـائل منها اختتام المفاوضات الجارية في إطار خطة الدوحة الإنمائية التي وضعتها تلك المنظمة
global_targets:17-11---title,2020년까지 전 세계 수출에서 최빈개도국의 비중을 2배 증대하는 것을 목표로 개발도상국의 수출을 대폭 증대,تحقيق زيادة كبيرة في صادرات البلدان النامية، ولا سـيما بغرض مضاعفة حصة أقل البلدان نمواً من الصادرات العالمية بحلول عام 2020
global_targets:17-12---title,최빈개도국 수입품에 대한 특혜 원산지규정 투명성 및 명료성을 포함하여 최빈개도국의 무관세 및 수량규제 없는 시장접근에 대한 WTO 결정을 시의성 있게 이행,تحقيق التنفيذ المناسـب التوقيت لوصـول منتجات جميع أقل البلدان نمواً إلى الأسـواق بدون رسـوم جمركية أو حصـص مفروضة، تماشـياً مع قرارات منظمة التجارة العالمية، بوسائل منها كفالة جعل قواعد المنشأ التفضـيلية المنطبقة على واردات أقل البلدان نمواً شـفافةً وبسـيطةً، وكفالة مسـاهمة تلك القواعد في تيسـير الوصول إلى الأسواق
global_targets:17-13---title,정책일관성 및 조율을 통하여 글로벌거시경제 안전성 강화,تعزيز اسـتقرار الاقتصاد الكلي على الصعيد العالمي، بوسائل تشمل تنسيق السياسات وتحقيق اتساقها
global_targets:17-14---title,지속가능발전을 위한 정책일관성 강화,تعزيز اتساق السياسات لأغراض التنمية المستدامة
global_targets:17-15---title,빈곤퇴치아 지속가능발전을 위한 정책을 수립하고 이행하는데 있어 각국의 정책적 재량과 리더십 존중,احترام الهامش السياساتي والقيادة لكل بلد لوضع وتنفيذ سياسات للقضاء على الفقر وتحقيق التنمية المستدامة
global_targets:17-16---title,"모든 국가, 특히 개도국에서 SDGs 달성을 지원하기 위해, 지식·전문성·기술·재원을 동원 공유하는 다양한 이해당사자간 파트너십에 의해 보완되는 지속가능발전을 위한 글로벌 파트너십 강화",تعزيز الشـراكة العالمية من أجل تحقيق التنمية المســتدامة، وتكميلها بشـراكات بين أصـحاب المصـلحة المتعددين لجمع المعـارف والخبرات والتكنولوجيا والموارد المـاليـة وتقـاسمهـا، وذلـك بهدف دعم تحقيق أهداف التنمية المسـتدامة في جميع البلدان، ولا سيما البلدان النامية
global_targets:17-17---title,"파트너십의 경험과 재원조달 전략에 기초하여 효과저긴 공공, 민관, 시민사회  간 파트너십 권장 및 촉진",تشجيع وتعزيز الشراكات العامة والشـراكات بين القطاع العام والقطاع الخاص وشـراكات المجتمع المدني الفعالة، بالاسـتفادة من الخبرات المكتسبة من الشراكات ومن استراتيجياتها لتعبئة الموارد
global_targets:17-18---title,"2020년까지 고품질의, 시의성 있고 신뢰도 높은 데이터를 소득, 성, 인종, 민족, 이민·이주신분, 장애상태, 지리적 위치, 기타 국가별 상황에 맞는 특성별로 세분화하여 제공할 수 있도록 개발도상국의 역량 구축 지원 강화", تعزيز تقـديم الدعم لبناء قـدرات البلـدان النـاميـة، بمـا في ذلك أقل البلدان نمواً والدول الجزرية الصغيرة النامية، لتحقيق زيادة كبيرة في توافر بيانات عالية الجودة ومناسبة التوقيـت وموثوقـة ومفصلة حسـب الدخل، والجنس، والسـن، والانتماء العرقي والإثني، والوضع من حيـث الهجرة، والإعـاقـة، والموقع الجغرافي، وغيرها من الخصائص ذات الصلة في السـياقات الوطنية، بحلول عام 2020
global_targets:17-19---title,"2030년까지 GDP 보완을 위한 지속가능바전 성과 측정치 개발에 대한 현존 이니셔티브를 기반으로 이를 발전시키고, 개도국의 통계역량구축을 지원",الاسـتفادة من المبادرات القائمة لوضع مقاييس للتقدم المحرز في تحقيق التنميـة المسـتـدامـة تكمـل الناتج المحلي الإجمـالي، ودعم بناء القـدرات الإحصائيـة في البلدان النامية، بحلول عـام 2030
global_targets:17-2---title,"선진국은 개도국에 GNI의 0.7%를, 최빈개도국에 GNI의 0.15-0.20%를 ODA로 제공하는 것을 포함한 ODA 공약달성을 완전히 이행해야 하고, ODA 제공 국가는 적어도 GNI의 0.20%를 최빈개도국에 제공하는 것을 목표로 고려할 것을 권장","قيام البلدان المتقدمة النمو بتنفيذ التزاماتها في مجال المساعدة الإنمائية الرسمية تنفيذاً كاملاً، بما في ذلك التزام العديد من تلك البلدان ببلوغ هدف تخصيص نسبة 0,7 في المائة من دخلها القومي الإجمالي للمساعدة الإنمائية الرسمية المقدمة إالى البلدان النامية، وتخصيص نسبة تتراوح بين 0,15 في المائة و 0,20 في المائة من الدخل القومي الإجمالي للمساعدة الإنمائية الرسمية لأقل البلدان نمواً؛ ويشجَّع مقدمو المساعدة الإنمائية الرسمية على النظر في إمكانية رسم هدف يُخصص بموجبه 0,20 في المائة على الأقل من الناتج القومي الإجمالي للمساعدة الإنمائية الرسمية لأقل البلدان نمواً"
global_targets:17-3---title,개발도상국을 위해 다양한 출처로부터  추가적인 재원 동원,حشـد موارد مالية إضافية من مصادر متعددة من أجل البلدان النامية
global_targets:17-4---title,"필요한 경우 부채조달, 부채탕감, 부채조정을 목표로 하는 정책조율을 통해 개발도상국이 장기적인 부채 상환능력을 갖출수있도록 지원; 고채무국의 채무부담을 완화하기 위해 외채문제에 대응",مساعدة البلدان النامية في تحقيق القدرة على تحمل الديون على المدى الطويل من خلال تنسيق السـياسـات الرامية إلى تعزيز التمويل بديون وتخفيف أعباء الديون وإعادة هيكلتها، حسـب الاقتضاء، ومعالجة مسألة الديون الخارجية للبلدان الفقيرة المثقلة بها لإخراجها من حالة المديونية الحرجة
global_targets:17-5---title,최빈개도국을 위한 투자촉진계획을 채택하고 이행,اعتمـاد نظم لتشـجيع الاسـتثمـار لأقـل البلـدان نمواً وتنفيذها
global_targets:17-6---title,"과학, 기술, 혁신에 관한 북-남, 남-남, 삼각협력 등의 지역 및 국가 간 협력과 접근을 강화; 글로벌 기술촉진 메커니즘 활용 및 특히 UN 차원에서 마련된 기존 메커니즘 간의 조정을 개선하여 상호합의된 조건에 따른 지식공유 확대",تعزيز التعاون الإقليمي والدولي بين الشـمال والجنوب وفي مـا بين بلـدان الجنوب والتعاون الثلاثي في مـا يتعلق بالعلوم والتكنولوجيا والابتكار والوصـول إليها، وتعزيز تبادل المعارف وفق شـروط متفق عليها، بوسائل تشـمل تحسـين التنسـيق في ما بين الآليات القائمة، ولا سـيما على مسـتوى الأمم المتحدة، ومن خلال آلية عالمية لتيسير التكنولوجيا
global_targets:17-7---title,"상호합의에 따라 양허, 특혜 등 유리한 조건으로 개발도상국에 환경적으로 안전한 기술의 개발, 이전, 전파 및 확산을 증진",تعزيز تطوير تكنولوجيات سليمة بيئياً ونقلها ونشرها وتعميمها في البلدان النامية بشـروط مواتية، بما في ذلك الشـروط التساهلية والتفضيلية، وذلك على النحو المتفق عليه
global_targets:17-8---title,2017년까지 최빈개도국을 위한 기술은행 및 과학기술혁신 역량구축 메카니즘 운영을 전면 가동하고 정보통신기술(ICT) 위주의 핵심기술 사용을 강화,التفعيـل الكامل لبنك التكنولوجيا وآلية بناء القـدرات في مجالات العلم والتكنولوجيا والابتكار لصالح أقل البلدان نمواً بحلول عام 2017، وتعزيز اسـتخدام التكنولوجيات التمكينية، ولا سـيما تكنولوجيا المعلومات والاتصالات
global_targets:17-9---title,"북남, 남-남, 삼각협력을 통하여, SDGs를 효과적으로 달성하기 위한 국가계획을 지원할 개도국의 효과적, 선별적 역량구축 이행에 대한 국제적 지원을 강화",تعزيز الدعم الدولي لتنفيذ بناء القدرات في البلدان النامية تنفيذاً فعالاً ومحدد الأهداف من أجل دعم الخطط الوطنية الرامية إلى تنفيذ جميع أهداف التنمية المسـتدامة، بوسائل تشـمل التعاون بين الشمال والجنوب وفي ما بين بلدان الجنوب والتعاون الثلاثي
global_targets:2-1---title,"2030년까지 기아를 종식시키고 모든 사람, 특히 영·유아를 포함한 빈곤층 및 취약계층이 안전하고 영양가 있으며 충분한 식량에 접근할 수 있도록 보장",القضاء على الجوع وكفالة حصول الجميع، ولا سيما الفقراء والفئات الضعيفة، بمن فيهم الرضع، على ما يكفيهم من الغذاء المأمون والمغذّي طوال العام، بحلول عام 2030
global_targets:2-2---title,"2025년까지 5세 미만의 발육부진 및 쇠약에 관한 국제 목표 달성을 포함하여 2030년까지 모든 형태의 영양 부족을 종식시키고 여성 청소년, 임산부, 수유여성 및 노년층의 영양상태 개선",إنهاء جميع أشـكال سـوء التغذية، بحلول عام 2030، بما في ذلك تحقيق الأهداف المتفق عليها دولياً بشأن توقف النمو والهزال لدى الأطفال دون سن الخامسـة، ومعالجة الاحتياجات التغـذويـة للمراهقـات والحوامل والمراضع وكبار السـن، بحلول عام 2025
global_targets:2-3---title,"2030년까지 토지 및 기타 생산자원과 투입요소, 지식, 금융서비스, 시장 및 부가가치 창출과 비농업부문 고용 기회에 대한 안전하고 동등한 접근을 통해 소규모 식량생산자, 특히 여성, 토착민, 가족농, 목축업자 및 어민의 농업 생산성과 소득을 두 배로 증가",مضاعفة الإنتاجية الزراعية ودخل صغار منتجي الأغذية، ولا سيما النساء وأفراد الشعوب الأصلية والمزارعون الأسريون والرعاة والصيادون، بوسائل تشـمل كفالة المساواة في حصـولهم على الأراضي وعلى موارد الإنتاج الأخرى، والمـدخلات، والمعـارف، والخدمات المالية، وإمكانية وصــولهم إلى الأسـواق، وحصـولهم على الفرص، لتحقيق قيمة مضافة، وحصولهم على فرص عمل غير زراعية، بحلول عام 2030
global_targets:2-4---title,"2030년까지 생산성과 생산량을 증가시키고 생태계 유지에 도움이 되며 기후변화, 기상 이변, 가문, 홍수 및 기타 자연재해데 대한 적응력을 강화하고 토지와 토양의 질을 점진적으로 향상 시킬 수 있는 지속가능한 식량생산체계를 보장하며, 회복력 있는 농업 관행을 이행",كفالة وجود نظم إنتاج غذائي مسـتدامة، وتنفيذ ممارسات زراعية متينة تؤدي إلى زيادة الإنتاجية والمحاصـيل، وتسـاعد على الحفاظ على النظم الإيكولوجيــة، وتعزز القــدرة على التكيف مع تغير المنــاخ وعلى مواجهة أحوال الطقس الشــديدة وحالات الجفاف والفيضــانات وغيرها من الكوارث، وتحسِّن تدريجيا نوعية الأراضي والتربة، بحلول عام 2030
global_targets:2-5---title,"2020년까지 국가적, 지역적, 국제적 차원에서 건전하게 관리되고 다변화된 종자 및 식물 은행 등을 통해 종자, 재배식물, 가축과 사육동물 및 관련 야생종의 유전적 다양성을 유지하고, 국제적으로 합의된 바와 같이 유전자원과 관련 전통지식의 이용으로부터 발생하는 이익의 공정하고 공평한 분배에 대한 접근을 개선",الحفاظ على التنوع الجيني للبذور والنباتات المزروعة والحيوانات المدجنة والأليفة وما يتصل بها من الأنواع البرية، بوسائل تشمل بنوك البذور والنباتات المتنوّعة التي تدار إدارة سـليمة على الصعد الوطنية والإقليمية والدولية، وكفالة الوصـول إليها، وتقاسـم المنافع الناشـئة عن اسـتخدام الموارد الجينية وما يتّصل بها من معارف تقليدية بعدل وإنصاف على النحو المتفق عليه دولياً، بحلول عام 2020
global_targets:2-a---title,"개발도상국 특히, 최빈개도국의 농업 생산역량 강화를 위해 국제협력 증진을 통해 농촌 지역 사회기반시설, 농업 연구 및 지원 서비스, 기술 개발, 식물 및 가축 유전자은행에 대한 투자 확대",زيادة الاسـتثمار، بطرق تشـمل التعاون الدولي المعزّز، في الهياكل الأسـاسـية الريفية، وفي البحوث الزراعية وخدمات الإرشـاد الزراعي، وفي تطوير التكنولوجيا وبنوك الجينات الحيوانية والنباتية من أجل تعزيز القدرة الإنتاجية الزراعية في البلدان النامية، لا سـيما في أقل البلدان نمواً
global_targets:2-b---title,도하개발라운드에 따른 농산품 보조금 철폐를 포함하여 세계농업시장에서의 무역규제 및 왜곡 시정,منع القيود المفروضة على التجارة وتصحيح التشـوهات في الأسواق الزراعية العالمية، بطرق تشمل الإلغاء الموازي لجميع أشكال إعانات الصـادرات الزراعية، وجميع تدابير التصـدير ذات الأثر المماثل، وفقا لتكليف جولة الدوحة الإنمائية
global_targets:2-c---title,지나친 식품가격 변동성 제어에 도움이 되도록 식품상품 시장의 정상적인 기능을 위한 조치 채택,اعتماد تدابير لضـمان سـلامة أداء أسواق السلع الأساسـية ومشتقاتها، وتيسير الحصول على المعلومات عن الأسواق في الوقت المناسـب، بمـا في ذلـك عن الاحتيـاطيـات من الأغـذيـة، وذلـك للمساعدة على الحد من شدة تقلب أسعارها
global_targets:3-1---title,2030년까지  모성사망비율을 10만 명 당 70명미만으로 감소,"خفض النسبة العالمية للوفيات النفاسية إالى أقل من 70 حالة لكل 100,000 من المواليد الأحياء"
global_targets:3-2---title,"2030년까지 신생아와 5세미만의 예방가능한 사망을 종식시켜, 모든 국가의 신생아 사망률을 1000명당 최소 12명 이하,  5세 미만 사망률을 1000명당 최소 25명 이하 목표","إنهاء وفيات المواليد والأطفال دون سـن الخامسة التي يمكن تفاديها، بحلول عام 2030، بسـعي جميع البلدان إلى بلوغ هدف خفض وفيات المواليد على الأقــل إلى 12 حـالة وفـاة في كل 1,000 مولود حي، وخفض وفيات الأطفال دون سـن الخامسـة إلى 25 حالة وفاة على الأقل في كل 1,000 مولود حي"
global_targets:3-3---title,"2030년까지 후천성면역결핍증(AIDS), 결핵, 말라리아 및  소외열대질환의 확산을  종식시키고, 간염, 수인성 질병 및 기타 전염성 질병 방지",القضاء على أوبئة الإيدز والسل والملاريا والأمراض المدارية المهملة، ومكافحة الالتهاب الكبـدي الوبـائي، والأمراض المنقولة بالمياه، والأمراض المعدية الأخرى بحلول عام 2030
global_targets:3-4---title,2030년까지 예방과 치료를 통해 비전염성 질병으로 인한 조기 사망을 1/3로 감소시키고 정신건강과 웰빙을 향상,خفض الوفيـات المبكرة الناجمـة عن الأمراض غير المعـدية بمقـدار الثلـث بتوفير الوقـايـة والعلاج وتعزيز الصحـة والسلامـة العقلية، بحلول عام 2030
global_targets:3-5---title,마약 및 해로운 알코올을 포함하여 약물남용 예방 및 치료 강화,تعزيز الوقاية من إساءة اسـتعمال المواد المخدرة، بما في ذلك تعـاطي المخـدرات وتنـاول الكحول على نحو يضر بالصحة، وعلاج ذلك
global_targets:3-6---title,"2020년까지, 도로교통사고로 인한 사망자 및 부상자 수를 절반으로 감소",خفض عدد الوفيات والإصابات الناجمة عن حوادث المرور على الصعيد العالمي إلى النصف بحلول عام 2020
global_targets:3-7---title,"2030년까지 가족계획, 정보및교육 등을 포함한 성 및 생식보건서비스에 대한 보편적 접근을 보장하고 생식보건을 국가전략과 프로그램에 통합",ضـمان حصـول الجميع على خدمات رعاية الصـحة الجنسـية والإنجابية، بما في ذلك خدمات ومعلومات تنظيم الأسـرة والتثقيف بشـأنها، وإدماج الصحة الإنجابية في الاستراتيجيات والبرامج الوطنية، بحلول عام 2030
global_targets:3-8---title,"재정 위험 보호, 양질의 필수 보건서비스, 모두에게 안전하고 효과적이며 합리적인 가격의 필수 약품 및 백신에 대한 접근 등을 포함하는 보편적 건강보장 서비스 제공",تحقيق التغطية الصـحية الشـاملة، بما في ذلك الحماية من المخاطر المالية وإمكانية الحصول على خدمات الرعاية الصحية الأساسية الجيدة، وإمكانية حصول الجميع على الأدوية واللقاحات الأساسية المأمونة والجيّدة والفعالة والميسورة التكلفة
global_targets:3-9---title,"2030년까지 유해화학물질, 대기오염, 수질오염, 토양 오염으로 인한 사망 및 질병 건수를 상당 수준으로 감소",الحـد بقـدر كبير من عـدد الوفيات والأمراض الناجمة عن التعرّض للمواد الكيميائية الخطرة، وتلوّث الهواء والماء والتربة، بحلول عام 2030
global_targets:3-a---title,WHO 담배규제기본협약 이행 강화,تعزيز تنفيذ اتفاقية منظمة الصحة العالمية الإطارية بشـأن مكافحة التبغ في جميع البلدان، حسب الاقتضاء
global_targets:3-b---title,"개도국에서 주로 발생하는 전염성 및 비전염성 질병에 대한 백신 및 약품 개발과 연구 지원, 저렴한 가격의 필수 의약품 및 백신의 제공, 특히 모두에게 의약품에 대한 접근을 보장",دعم البحث والتطوير في مجال اللقاحات والأدوية للأمراض المعدية وغير المعدية التي تتعرض لها البلدان النامية في المقام الأول، وتوفير إمكانية الحصـول على الأدوية واللقاحات الأسـاسـية بأسـعار معقولـة، وفقـاً لإعلان الـدوحـة بشأن الاتفـاق المتعلق بـالجوانـب المتصــلة بالتجارة من حقوق الملكية الفكرية وبالصــحة العامة، الذي يؤكد حق البلدان النامية في الاسـتفادة بالكامل من الأحكام الواردة في الاتفاق بشأن الجوانب المتصلة بالتجارة من حقوق الملكية الفكرية المتعلقة بأوجه المرونة اللازمة لحماية الصحة العامة، ولا سيما العمل من أجل إمكانية حصول الجميع على الأدوية
global_targets:3-c---title,"최빈개도국 및 개도국에서의 보건인력 양성, 훈련 및 보건 분야 재원을 상당 수준 증가",تحقيق زيـادة كبيرة في تمويـل قطـاع الصـحـة، وتوظيف قوى عـاملـة في هـذا القطـاع وتطويرهـا وتـدريبهـا واسـتبقـائهـا في البلـدان النامية، وبخاصة في أقل البلدان نموا والدول الجزرية الصغيرة النامية
global_targets:3-d---title,"모든 국가, 특히 개도국의 조기경보, 위험 감소, 국가 및 글로벌 보건리스크 관리 역량 강화",تعزيز قدرات جميع البلدان، ولا ســيما البلدان النامية، في مجـال الإنـذار المبكر والحـد من المخـاطر وإدارة المخـاطر الصـحيـة الوطنية والعالمية
global_targets:4-1---title,2030년까지 모든 여아와 남아가 적절하고 효과적인 학습성과를 거둘 수 있도록 공평하고 양질의 무상 초등교육과 중등교육의 이수를 보장,ضـمـان أن يتمتّع جميع الفتيــات والفتيــان بتعليم ابتــدائي وثانوي مجاني ومنصـف وجيّد يؤدي إلى تحقيق نتائج تعليمية ملائمة وفعالة بحلول عام 2030
global_targets:4-2---title,"2030년까지 모든 여아와 남아가 초등교육을 받을 준비가 되도록 양질의 영유아 발달 교육, 보육 및 취학 전 교육에 대한 접근을 보장",كفالة أن تتاح لجميع الفتيات والفتيان، بحلول عام 2030، فرص الحصـول على نوعيـة جيـدة من النمـاء والرعـايـة في مرحلـة الطفولـة المبكرة والتعليم قبـل الابتـدائي حتى يكونوا جـاهزين للتعليم الابتدائي
global_targets:4-3---title,"2030년까지 모든 여성과 남성에게 적정비용의 양질의 기술교육, 직업교육 및 대학을 포함한 고등교육에 대한 평등한 접근을 보장",كفالة تكافؤ فرص جميع النساء والرجال في الحصول على التعليم التقني والمهني والتعليم العالي الجيّد  والميسـور التكلفة، بما في ذلك التعليم الجامعي، بحلول عام 2030
global_targets:4-4---title,"2030년까지 전문.직업기술 등 취업, 양질의 일자리, 창업활동을 위해 필요한 적합한 기술을 지닌 청소년과 성인의 수를 실질적으로 증가",تحقيق زيـادة كبيرة في عـدد الشـبـاب والكبـار الـذين تتوافر لـديهم المهـارات المنـاسـبـة، بمـا في ذلـك المهـارات التقنيـة والمهنيـة، للعمل وشـغل وظائف لائقة ولمباشـرة الأعمال الحرة، بحلول عام 2030
global_targets:4-5---title,"2030년까지 교육에서의 성차를 해소하고, 장애인, 토착민, 취약상황에 처한 아동을 포함한 취약계층이 모든 수준의 교육과 직업훈련에 평등하게 접근",القضاء على التفاوت بين الجنسين في التعليم، وكفالة تكافؤ فرص الوصول إلى جميع مســـتويات التعليم والتدريب المهني للفئات الضـعيفة، بما في ذلك لأشــــخاص ذوي الإعاقة، وأفراد الشـعوب الأصلية، والأطفال الذين يعيشـون في ظروف هشـة، بحلول عام 2030
global_targets:4-6---title,2030년까지 모든 청소년과 상당수 성인 남녀의 문해력과 수리력 성취를 보장,كفالة أن يلمّ جميع الشــباب ونســبة كبيرة من الكبار، رجالاً ونساء على حد سـواء، بالقراءة والكتابة والحسـاب، بحلول عام 2030
global_targets:4-7---title,"2030년까지 모든 학습자들이 지속가능발전 및 지속가능생할방식, 인권, 성평등, 평화와 비폭력문화증진, 세계시민의식, 문화다양성 및 지속가능발전을 위한 문화의 기여에 대한 교육을 통해, 지속가능발전을 증진하기 위해 필요한 지식 및 기술 습득을 보장",كفالة أن يكتسـب جميع المتعلّمين المعارف والمهارات اللازمة لدعم التنمية المســتدامة، بما في ذلك جملة أمور منها التعليم لتحقيق التنمية المسـتدامة، واتّباع أساليب العيش المسـتدامة، وحقوق الإنسان، والمساواة بين الجنسـين، والترويج لثقافة السـلام ونبذ العنف، والمواطنة العالمية، وتقدير التنوع الثقافي، وتقدير مساهمة الثقافة في التنمية المستدامة، بحلول عام 2030
global_targets:4-a---title,"아동, 장애인, 성차를 고려한 교육시설을 건립 및 개선하고, 모두를 위한 안전하고 비폭력적이며, 포용적이고 효과적인 학습환경을 제공",بنـاء مرافق تعليميـة تراعي الأطفـال، وذوي الإعـاقـة، والفروق بين الجنسـين، ورفع مســتوى المرافق التعليمية القائمة، وتهيئة بيئة تعليمية فعالة ومأمونة وخالية من العنف وشاملة للجميع
